candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,policy_score,expected_direction,x0_r3_role,note
phase3bp_02071,7d162a40a608f2134a09b324,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:7d162a40a608f2134a09b324,0.22128052,1,read_only_research_candidate,rx interaction intraday_delta_30 x ret_vol_30 product
phase3bp_00106,99d1e7f5a79f49f3a2661218,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))))",rx_range_location::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:99d1e7f5a79f49f3a2661218,0.22123996,1,read_only_research_candidate,rx atom transform bar_loc_shift_30
phase3bp_00105,c70970f75bba91b06e076457,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))))",rx_range_location::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:c70970f75bba91b06e076457,0.22042639,1,read_only_research_candidate,rx atom transform bar_loc_shift_30
phase3bp_02072,c4b961b5fee67547ee7ddc07,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::spread,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:c4b961b5fee67547ee7ddc07,0.21794529,1,read_only_research_candidate,rx interaction intraday_delta_30 x ret_vol_30 spread
phase3bp_02039,cbdca9c4dd9873b1b7edb591,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,8))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:cbdca9c4dd9873b1b7edb591,0.21619697,1,read_only_research_candidate,rx interaction intraday_delta_30 x ret_vol_8 product
phase3bp_01055,6153de835bd6744469cb5d4d,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,8)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:6153de835bd6744469cb5d4d,0.21619697,1,read_only_research_candidate,rx interaction intraday_delta_8 x ret_vol_30 product
phase3bp_00050,40d0c61f06fc8f8c8ebe806f,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))))",rx_range_location::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:40d0c61f06fc8f8c8ebe806f,0.21107286,1,read_only_research_candidate,rx atom transform bar_loc_shift_8
phase3bp_00049,919d4ed87c7ad94cd1a0cf0a,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))))",rx_range_location::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,close|high|low,"['close', 'high', 'low']",0,phase3bp:919d4ed87c7ad94cd1a0cf0a,0.21025929,1,read_only_research_candidate,rx atom transform bar_loc_shift_8
phase3bp_00101,4534dbe823cd3f2dfec12538,"CSRank(ZScore(Delta($intraday_ret_from_open,30)))",rx_intraday_return::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:4534dbe823cd3f2dfec12538,0.16704187,1,read_only_research_candidate,rx atom transform intraday_delta_30
phase3bp_00102,aa9a6af0255f880beee0b6ee,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,30))))",rx_intraday_return::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:aa9a6af0255f880beee0b6ee,0.16702772,1,read_only_research_candidate,rx atom transform intraday_delta_30
phase3bp_01977,c02ca67313855a9bed78339e,"CSRank(Mul(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_intraday_return::rx_range_location::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",30,phase3bp:c02ca67313855a9bed78339e,0.15881308,1,read_only_research_candidate,rx interaction ret_delta_30 x range_vol_30 product
phase3bp_01978,377353004f44d81ad84002c4,"CSRank(Sub(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_intraday_return::rx_range_location::spread,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",30,phase3bp:377353004f44d81ad84002c4,0.15782644,1,read_only_research_candidate,rx interaction ret_delta_30 x range_vol_30 spread
phase3bp_00045,6109e0fb1996c5871e3d32a3,"CSRank(ZScore(Delta($intraday_ret_from_open,8)))",rx_intraday_return::rank,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open,['intraday_ret_from_open'],8,phase3bp:6109e0fb1996c5871e3d32a3,0.15687477,1,read_only_research_candidate,rx atom transform intraday_delta_8
phase3bp_00046,333b291141ce4b15e7ff2cb1,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,8))))",rx_intraday_return::inverted,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,intraday_ret_from_open,['intraday_ret_from_open'],8,phase3bp:333b291141ce4b15e7ff2cb1,0.15686062,1,read_only_research_candidate,rx atom transform intraday_delta_8
phase3bp_00961,b1f1a7643e6aa06e4a7ef6c1,"CSRank(Mul(ZScore(Delta($ret_1m,8)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_intraday_return::rx_range_location::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",8,phase3bp:b1f1a7643e6aa06e4a7ef6c1,0.15372953,1,read_only_research_candidate,rx interaction ret_delta_8 x range_vol_30 product
phase3bp_01953,dd6812e758146c86f1c25ed1,"CSRank(Mul(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",rx_interaction::rx_intraday_return::rx_range_location::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",30,phase3bp:dd6812e758146c86f1c25ed1,0.15372953,1,read_only_research_candidate,rx interaction ret_delta_30 x range_vol_8 product
phase3bp_02671,8a0181e0d5a52c5ef5780da6,"CSRank(Mul(ZScore($m1_first15_vwap_return_vs_open),ZScore(Std($ret_1m,30))))",rx_interaction::rx_opening_divergence::rx_volatility_state::product,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",30,phase3bp:8a0181e0d5a52c5ef5780da6,0.12476052,1,read_only_research_candidate,rx interaction m1_first15_vwap_open x ret_vol_30 product
