shard,evaluated,errors,memory_hits,rows,codes,trade_times,panel_path
shard_00,96,0,0,775781,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_00_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_01,96,0,0,778939,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_01_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_02,96,0,0,771422,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_02_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_03,96,0,0,770948,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_03_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_04,96,0,0,768669,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_04_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_05,96,0,0,777615,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_05_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_06,96,0,0,774707,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_06_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_07,96,0,0,780609,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_07_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_08,96,0,0,776402,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_08_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_09,96,0,0,774197,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_09_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_10,96,0,0,776744,340,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_10_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_11,96,0,0,773390,339,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_11_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_12,96,0,0,778472,339,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_12_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_13,96,0,0,767315,339,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_13_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_14,96,0,0,772588,339,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_14_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
shard_15,96,0,0,772033,339,2400,D:\HermesWorker\workspace\phase3aj_new_data_current\runtime\phase3au_company_full_true1min_sharded_20260611\shard_15_retry1\phase3aq_wide_true1min\canary\phase3aq_true_1min_formula_canary.parquet
