candidate_id,expression,factor_lane,source_lane,source_generator,search_memory_key,expression_hash,parent_candidate_ids,parent_factor_lanes,field_list,note,fresh_search_intent,x0_r3_role
phase3ba_focused_minute_expansion_00001,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_amount))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:091809cc7e04e103902bc40c,091809cc7e04e103902bc40c,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00105,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00002,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_amount)))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:e5f42a984384fc552e932750,e5f42a984384fc552e932750,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00105,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00003,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_amount))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:3516f71573d13b0e4c2daed0,3516f71573d13b0e4c2daed0,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00105,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00004,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_amount))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:8dcd6b863b6dd4eebaba03fd,8dcd6b863b6dd4eebaba03fd,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00105,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00005,"CSRank(CSResidual(ZScore(CSRank($m1_first30_amount)),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:e9c667ce427c507c4b9c5574,e9c667ce427c507c4b9c5574,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00105,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_amount,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00006,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_amount)))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:fa5cd3c17a2f1cedffe30ac5,fa5cd3c17a2f1cedffe30ac5,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00106,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00007,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_amount))))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:3af8ae154c420653cb9e87a8,3af8ae154c420653cb9e87a8,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00106,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00008,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_amount)))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:85d043d9876c0e11fc5f2204,85d043d9876c0e11fc5f2204,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00106,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00009,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_amount)))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:933c7b3f5b785b69cfb3bf17,933c7b3f5b785b69cfb3bf17,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00106,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00010,"CSRank(CSResidual(ZScore(Neg(CSRank($m1_first30_amount))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:19a6745d0175b91dd2983c0d,19a6745d0175b91dd2983c0d,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00106,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_amount,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00011,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first15_amount))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:496b0bd4c13b96b3bb2b546c,496b0bd4c13b96b3bb2b546c,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00057,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00012,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first15_amount)))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:5bda63586e1cbbd08651456b,5bda63586e1cbbd08651456b,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00057,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00013,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first15_amount))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:0eaa2e7295184247bb81faa3,0eaa2e7295184247bb81faa3,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00057,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00014,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first15_amount))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:c23d8d008f1a51e353e7d10c,c23d8d008f1a51e353e7d10c,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00057,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00015,"CSRank(CSResidual(ZScore(CSRank($m1_first15_amount)),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:ad13dced85a2453874d018fc,ad13dced85a2453874d018fc,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00057,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first15_amount,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00016,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first15_amount)))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:fa26885aee277125ab080bb4,fa26885aee277125ab080bb4,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00058,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first15_amount,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00017,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first15_amount))))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:1e29256deddb806d8ba5b6f8,1e29256deddb806d8ba5b6f8,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00058,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first15_amount,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00018,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first15_amount)))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:f83eeb1fbc425be3c9e677a3,f83eeb1fbc425be3c9e677a3,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00058,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first15_amount,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00019,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first15_amount)))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:27ae2326f74e0a83c3d2d47a,27ae2326f74e0a83c3d2d47a,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00058,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first15_amount,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00020,"CSRank(CSResidual(ZScore(Neg(CSRank($m1_first15_amount))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:03b724edbf638fe7301d03a8,03b724edbf638fe7301d03a8,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00058,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first15_amount,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00021,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:2680fc48f98c0054a7070fe8,2680fc48f98c0054a7070fe8,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00107,ax_inverse_capacity_flow_level|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00022,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:ee28dd8eeea3e3a3d865ca0b,ee28dd8eeea3e3a3d865ca0b,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00107,ax_inverse_capacity_flow_level|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00023,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:85246c8db766c9f268478424,85246c8db766c9f268478424,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00107,ax_inverse_capacity_flow_level|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00024,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:5c967e993e738461dc94b9a9,5c967e993e738461dc94b9a9,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00107,ax_inverse_capacity_flow_level|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00025,"CSRank(CSResidual(ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:46bf73083884cb7ebbb0baf8,46bf73083884cb7ebbb0baf8,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00107,ax_inverse_capacity_flow_level|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00026,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:5a79e82840048e4a9ea6c7a9,5a79e82840048e4a9ea6c7a9,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00108,ax_inverse_capacity_flow_level|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00027,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:5eba3dfb5535e9ece233a95a,5eba3dfb5535e9ece233a95a,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00108,ax_inverse_capacity_flow_level|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00028,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:fb93700141214eb51a2cd804,fb93700141214eb51a2cd804,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00108,ax_inverse_capacity_flow_level|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00029,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:0dbd36e824f1145f8d2dea8d,0dbd36e824f1145f8d2dea8d,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00108,ax_inverse_capacity_flow_level|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00030,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:51291edab969ecab8cc81e6f,51291edab969ecab8cc81e6f,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00108,ax_inverse_capacity_flow_level|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00031,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_range))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:5a7158e0e4a09393c5378007,5a7158e0e4a09393c5378007,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00101,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_range,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00032,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_range)))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:157f468353d584da8be79ea9,157f468353d584da8be79ea9,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00101,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_range,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00033,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_range))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:54bf0a66919b1a572b40c96b,54bf0a66919b1a572b40c96b,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00101,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_range,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00034,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank($m1_first30_range))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:bf36e7f45b66b28a290272ae,bf36e7f45b66b28a290272ae,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00101,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_range,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00035,"CSRank(CSResidual(ZScore(CSRank($m1_first30_range)),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:ace0f0cc461390bd8f52fe71,ace0f0cc461390bd8f52fe71,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00101,ax_inverse_capacity_flow_level|azb_opening_direct,amount|float_share|m1_first30_range,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00036,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_range)))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:51bc6e337cb780937cf01241,51bc6e337cb780937cf01241,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00102,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_range,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00037,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_range))))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:87b03e858069d37e8f82a63b,87b03e858069d37e8f82a63b,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00102,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_range,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00038,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_range)))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:e4ee3bec1f63fb203ba63c58,e4ee3bec1f63fb203ba63c58,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00102,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_range,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00039,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(Neg(CSRank($m1_first30_range)))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:606a248ec4fe6652ae14988a,606a248ec4fe6652ae14988a,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00102,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_range,capacity-flow residualized against opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00040,"CSRank(CSResidual(ZScore(Neg(CSRank($m1_first30_range))),ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001)))))))",ba_opening_resid_ax,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:f6b85af542184eafbb02dce9,f6b85af542184eafbb02dce9,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00102,ax_inverse_capacity_flow_level|azb_opening_inverse,amount|float_share|m1_first30_range,opening-window residualized against capacity-flow,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00041,"CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume))))))",ba_ax_azb_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:67389b2c401b533e362d813e,67389b2c401b533e362d813e,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00144,ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume,capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00042,"Neg(CSRank(Add(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume)))))))",ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:69a7b1f039c1203b8a0b1a97,69a7b1f039c1203b8a0b1a97,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00144,ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume,inverse capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00043,"CSRank(Mul(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume))))))",ba_ax_azb_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:d3a48f98642295ee372bc691,d3a48f98642295ee372bc691,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00144,ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume,capacity-flow x opening-window interaction,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00044,"CSRank(CSResidual(ZScore(Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume))))))",ba_ax_resid_opening,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:60b858dcc7908eff913f3b6f,60b858dcc7908eff913f3b6f,phase3ax_capacity_refine_00325|phase3azb_opening_window_corrected_00144,ax_inverse_capacity_flow_level|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume,capacity-flow residualized against opening-window,True,read_only_research_candidate
