expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,source_generator,source_lane,policy_score,note,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bp_blocker_flags,phase3bp_decision
c70970f75bba91b06e076457,phase3bs_00008,,cem_atom::rx_range_location::rank,close|high|low,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))))",1,4,-0.2178656872,0.2253619599,0.05263157895,-0.0006577671571,0.0009078227942,0.05921052632,-0.009184767604,0.5684782155,0.7835046688,2167,50464,51736,1,0,-0.2178656872,-0.0006577671571,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.19915544,phase3bs_adaptive_cem_feedback: cem seed atom bar_loc_shift_30,short_top,0.2178656872,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
8cfdf831882907b7b7d18131,phase3bs_00042,,cem_interaction::rx_range_location::rx_opening_amount::spread,close|high|low|m1_first30_vol|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,4,-0.2140322904,0.2180925907,0.02205882353,-0.0006354953767,0.0007995972754,0.04411764706,-0.006075537335,0.5685895741,0.7893117511,1924,45322,51736,1,0,-0.2140322904,-0.0006354953767,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.13599359,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first30_vol spread,short_top,0.2140322904,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
7d65ec9a9c9d19802bb0ae8d,phase3bs_00056,,cem_interaction::rx_range_location::rx_opening_amount::spread,close|high|low|m1_first5_vol|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",1,4,-0.2132265646,0.2160522513,0.02027027027,-0.0007211940263,0.0007827435581,0.02702702703,-0.006588962003,0.5756107849,0.792262343,1924,49181,51736,1,0,-0.2132265646,-0.0007211940263,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.12925007,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first5_vol spread,short_top,0.2132265646,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
79f1112e7eb77e8a8c7c6172,phase3bs_00001,,cem_atom::rx_range_location::rank,close|high|low,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))))",1,4,-0.2129089761,0.2185053915,0.03947368421,-0.0006436159955,0.000881874504,0.05263157895,-0.008287088809,0.5767535761,0.7878541605,2343,50464,51736,1,0,-0.2129089761,-0.0006436159955,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.22330354,phase3bs_adaptive_cem_feedback: cem seed atom bar_loc_shift_15,short_top,0.2129089761,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
0752a3b3511d4b7b0a6ed37c,phase3bs_00007,,cem_atom::rx_range_location::inverted,close|high|low,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15)))))",1,4,0.2129089761,0.2185053915,0.9605263158,0.0006444658451,0.0008790469001,0.9473684211,0.008287088809,-0.5767535761,0.7875829262,2343,50464,51736,1,0,0.2129089761,0.0006444658451,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.21556594,phase3bs_adaptive_cem_feedback: cem seed atom bar_loc_shift_15,long_top,0.2129089761,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
3b60efa4b19d2b1c6750e7b9,phase3bs_00057,,cem_interaction::rx_range_location::rx_opening_amount::spread,close|high|low|m1_first15_vol|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first15_vol,Add(Abs($volume),0.000001)))))",1,4,-0.2121584399,0.2156267849,0.02027027027,-0.0006859408596,0.000793577687,0.02702702703,-0.006804270669,0.5752413947,0.7915830516,1924,49181,51736,1,0,-0.2121584399,-0.0006859408596,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.12818168,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first15_vol spread,short_top,0.2121584399,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
e7ab4ef435533eff9ab3a00b,phase3bs_00010,,cem_atom::rx_range_location::rank,close|high|low,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))))",1,4,-0.2114489757,0.2174158213,0.03289473684,-0.0006508690672,0.0008938128936,0.05263157895,-0.007744419599,0.581031567,0.7913246849,2392,50464,51736,1,0,-0.2114489757,-0.0006508690672,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.19340378,phase3bs_adaptive_cem_feedback: cem seed atom bar_loc_shift_10,short_top,0.2114489757,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
919d4ed87c7ad94cd1a0cf0a,phase3bs_00009,,cem_atom::rx_range_location::rank,close|high|low,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))))",1,4,-0.2089219328,0.2147870637,0.03289473684,-0.0006716844542,0.0008799064255,0.05263157895,-0.01026268853,0.5848881564,0.7908208988,2366,50464,51736,1,0,-0.2089219328,-0.0006716844542,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.19384346,phase3bs_adaptive_cem_feedback: cem seed atom bar_loc_shift_8,short_top,0.2089219328,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
c6cb4f9744a245dff00dd91e,phase3bs_00050,,cem_interaction::rx_range_location::rx_opening_amount::product,close|high|low|m1_first30_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,4,0.2075660813,0.2093127101,0.9779411765,0.0007007207759,0.0007284705583,0.9779411765,0.008740902625,-0.5638496343,0.7841373763,1924,45322,51736,1,0,0.2075660813,0.0007007207759,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.13766348,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first30_vol product,long_top,0.2075660813,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
c74fe0e35d7fe173674966c4,phase3bs_00063,,cem_interaction::rx_range_location::rx_opening_amount::product,close|high|low|m1_first5_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",1,4,0.20113727,0.2035106836,0.9797297297,0.0006802986114,0.0007265977941,0.972972973,0.008432824337,-0.5682084379,0.7851965134,1924,49181,51736,1,0,0.20113727,0.0006802986114,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.13091996,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first5_vol product,long_top,0.20113727,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
82d30a9f2fe5715cd3f2cc20,phase3bs_00065,,cem_interaction::rx_range_location::rx_opening_amount::product,close|high|low|m1_first15_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div($m1_first15_vol,Add(Abs($volume),0.000001)))))",1,4,0.2009861533,0.2027424296,0.9797297297,0.0006889283192,0.0007220185215,0.972972973,0.009285782659,-0.5672806446,0.786290729,1924,49181,51736,1,0,0.2009861533,0.0006889283192,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.12985157,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first15_vol product,long_top,0.2009861533,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
42c18892b4f54aa1b0c93361,phase3bs_00049,,cem_interaction::rx_range_location::rx_flow_amount_volume::spread,amount|close|high|low,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Delta($amount,15))))",1,4,-0.1964516611,0.2052531851,0.04605263158,-0.0006006281919,0.0009464361052,0.05921052632,-0.008814784764,0.512527885,0.7864146598,1925,50464,51736,1,0,-0.1964516611,-0.0006006281919,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.14139288,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x amount_delta_15 spread,short_top,0.1964516611,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
ed571d565242a20a87aed731,phase3bs_00048,,cem_interaction::rx_range_location::rx_flow_amount_volume::spread,close|high|low|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Delta($volume,15))))",1,4,-0.1952697531,0.2019299427,0.03289473684,-0.0006320991574,0.0008909792831,0.05263157895,-0.01173085891,0.5135789398,0.7871266015,1929,50464,51736,1,0,-0.1952697531,-0.0006320991574,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.14231357,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x volume_delta_15 spread,short_top,0.1952697531,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
540228a160f1008d92afceeb,phase3bs_00037,,cem_atom::rx_intraday_return::inverted,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,3))))",1,4,0.1887595499,0.1979807973,0.9671052632,0.000775820494,0.0008898357241,0.9473684211,0.03436976566,-0.4499785953,0.7883411563,1924,50464,51736,1,0,0.1887595499,0.000775820494,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.143106,phase3bs_adaptive_cem_feedback: cem seed atom intraday_delta_3,long_top,0.1887595499,4,future_signal_wrong_lag_too_strong,bp_watch_or_reject
d8b3b9d94d8d3b89e347eba7,phase3bs_00080,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first30_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,4,0.1806470249,0.1815770145,0.9852941176,0.0005152715255,0.0005506130344,0.9558823529,0.01125356341,-0.5113457356,0.7919306634,1924,45322,51736,1,0,0.1806470249,0.0005152715255,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.13022984,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_30 x m1_first30_vol signed_state,long_top,0.1806470249,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
73f5b156f68bdb501a39767a,phase3bs_00033,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first30_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15)))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,4,0.178158804,0.1803268158,0.9779411765,0.0004999082681,0.0005352574056,0.9485294118,0.01021177923,-0.5104059667,0.7908356465,1924,45322,51736,1,0,0.178158804,0.0004999082681,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.15437794,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first30_vol signed_state,long_top,0.178158804,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
a81c32efab28db05159aea50,phase3bs_00111,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first15_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),ZScore(Div($m1_first15_vol,Add(Abs($volume),0.000001)))))",1,4,0.175153297,0.1762887888,0.9797297297,0.0005049436323,0.0005552681183,0.9459459459,0.01181250641,-0.5116481109,0.792291243,1924,49181,51736,1,0,0.175153297,0.0005049436323,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.12241792,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_30 x m1_first15_vol signed_state,long_top,0.175153297,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
be5a5244d203b63d7f230d49,phase3bs_00106,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first5_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",1,4,0.1743315196,0.1757198418,0.9797297297,0.0004951871531,0.0005385907135,0.9391891892,0.01016185861,-0.5088140285,0.7909916054,1925,49181,51736,1,0,0.1743315196,0.0004951871531,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.12348632,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_30 x m1_first5_vol signed_state,long_top,0.1743315196,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
f51decd68cc38d94170fd19f,phase3bs_00045,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first15_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15)))),ZScore(Div($m1_first15_vol,Add(Abs($volume),0.000001)))))",1,4,0.17352333,0.1756018173,0.9797297297,0.0005102816653,0.0005517338355,0.9459459459,0.01142907611,-0.5113303146,0.7908699908,1925,49181,51736,1,0,0.17352333,0.0005102816653,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.14656602,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first15_vol signed_state,long_top,0.17352333,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
496181b750b08003d939b38b,phase3bs_00044,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first5_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15)))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",1,4,0.173191602,0.17555131,0.9797297297,0.0005017449803,0.0005357195518,0.9391891892,0.009717827771,-0.5085734053,0.7915423718,1925,49181,51736,1,0,0.173191602,0.0005017449803,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.14763442,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x m1_first5_vol signed_state,long_top,0.173191602,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
bc3f4d30e08a01a6a83fdb47,phase3bs_00072,,cem_interaction::rx_range_location::rx_flow_amount_volume::spread,amount|close|high|low,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Div(Mean($amount,3),Add(Abs(Mean($amount,8)),0.000001)))))",1,4,-0.1707807592,0.1748913079,0.03947368421,-0.0006330325875,0.0007518968648,0.03289473684,-0.006841032019,0.4283549007,0.7872921402,1927,50464,51736,1,0,-0.1707807592,-0.0006330325875,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.1256535,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x amount_curve_3_8 spread,short_top,0.1707807592,4,future_signal_wrong_lag_too_strong,bp_watch_or_reject
93dbc9d0bc438ea19069b71d,phase3bs_00059,,cem_interaction::rx_range_location::rx_range_location::spread,close|high|low|open,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),15))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),15))))",1,4,-0.170555807,0.1764614142,0.02631578947,-0.0005987143559,0.0008252487624,0.04605263158,0.0005472752976,0.4753481591,0.746314101,1936,50464,51736,1,0,-0.170555807,-0.0005987143559,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.13702578,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_15 x range_vol_15 spread,short_top,0.170555807,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
1d7b25d998ae39e9808fdb77,phase3bs_00103,,cem_interaction::rx_range_location::rx_opening_amount::signed_state,close|high|low|m1_first30_vol|volume,"CSRank(Mul(Sign(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,4,0.1701974645,0.1712680001,0.9779411765,0.0004910615691,0.0005203751592,0.9632352941,0.01232677769,-0.5047586766,0.7913181299,1924,45322,51736,1,0,0.1701974645,0.0004910615691,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.12491786,phase3bs_adaptive_cem_feedback: cem seed interaction bar_loc_shift_8 x m1_first30_vol signed_state,long_top,0.1701974645,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
